Sample	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0
P9723_1001_S1_L001_R1_001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.25	0.0	0.5	1.25	1.75	0.25	0.25	0.75	0.75	1.5	5.5	9.0	22.0	65.5	123.5	222.5	395.75	614.25	1296.75	3128.5	1843.5	1228.5	1738.0	5054.0	5103.75	3537.25	10128.75	16652.75	7459.25	2377.5	1103.5	1584.75	905.75	1933.25	615.75	184.75	36.25	16.5	8.25	3.25	1.0	0.25	0.0	0.0	0.0	0.0	0.25	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.25	0.0	0.0	0.25	0.0
P9723_1001_S1_L001_R2_001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.75	0.75	0.25	0.75	0.25	0.25	0.5	0.5	1.0	1.25	3.0	4.25	4.0	9.0	23.75	64.75	114.0	231.0	475.5	1064.0	2659.75	1870.25	1500.0	1980.5	3489.5	5411.0	6759.0	9931.5	11188.75	7211.5	3983.75	1934.0	1825.0	1198.0	1542.75	1014.0	429.75	173.25	54.5	21.25	10.5	7.75	7.25	1.25	1.25	0.75	0.25	0.5	0.75	0.5	0.75	0.5	1.25	0.75	1.25	0.5	0.25	0.0	0.25	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333
P9723_1002_S2_L001_R1_001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.25	0.0	0.0	0.75	3.5	13.5	36.25	83.5	177.5	333.25	504.0	745.75	1127.75	1172.25	1555.5	2491.25	2398.25	2917.25	4977.75	12279.25	20832.25	16474.5	13997.75	2968.0	900.25	537.5	214.75	105.5	30.5	22.25	20.75	13.75	9.0	3.5	0.5	0.25	0.0	0.25	0.25	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.25	0.0	0.0	0.0	0.25	0.0	0.0	0.25	0.0	0.0	0.0	0.25	0.25	0.0	0.0	0.0	0.25	0.25	0.0	0.0	0.25	0.25	0.25	0.25	0.0	0.0	0.0	0.0
P9723_1002_S2_L001_R2_001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.25	0.25	0.25	0.5	0.75	0.75	2.5	6.5	10.5	23.75	55.75	130.75	266.75	569.5	888.0	1169.25	1662.75	2196.0	2513.75	3012.5	4253.75	6571.5	19221.25	17008.25	12389.75	10900.75	2533.75	1035.75	444.5	199.0	104.5	48.75	21.0	12.0	9.5	11.25	10.5	3.25	2.5	1.0	1.0	1.0	0.25	0.5	0.25	0.25	0.0	0.0	0.25	0.75	0.75	0.5	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.25	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333
P9723_1003_S3_L001_R1_001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	2.5	2.25	5.0	7.0	33.25	80.25	211.0	469.25	542.5	836.0	1512.0	4216.75	2708.75	3012.25	7253.25	4428.5	7110.75	10749.5	23649.0	11394.25	2835.0	1695.5	2888.75	2452.0	3356.75	1110.75	430.5	164.5	309.5	57.5	24.25	4.75	3.0	0.5	0.25	0.0	0.75	0.5	0.5	0.25	0.75	1.5	0.75	0.25	0.25	0.0	0.25	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.25	0.0	0.0	0.0
P9723_1003_S3_L001_R2_001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.25	0.0	0.0	0.0	0.0	0.0	0.25	1.0	2.0	3.0	6.25	8.5	19.75	58.25	192.0	249.75	319.0	629.5	1087.0	1682.75	2812.5	5483.75	7277.5	5477.5	6947.75	10861.75	14446.5	12371.5	6545.75	3568.75	2815.75	2481.75	2710.25	2000.0	925.75	364.75	215.0	218.0	135.0	51.5	19.0	9.0	3.5	2.75	1.75	0.75	0.75	1.0	1.0	0.25	0.0	0.5	1.25	0.75	0.0	1.0	0.75	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.25	0.25	0.0	0.0	0.25	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P9723_1004_S4_L001_R1_001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.25	0.25	1.25	0.5	5.25	5.25	7.0	11.75	43.5	112.25	411.75	349.0	524.0	1154.25	2320.0	3151.5	4490.75	2277.75	1872.25	2110.0	2243.75	4385.0	13036.25	13338.0	6508.25	3483.75	1945.25	2134.5	582.5	349.5	252.0	182.0	55.5	47.75	41.0	4.75	0.5	0.5	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.25	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0
P9723_1004_S4_L001_R2_001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	1.75	1.75	4.5	7.0	5.75	15.5	33.25	87.75	287.5	191.5	357.25	1048.75	1562.5	1906.25	1823.75	2848.0	4244.5	3156.25	2889.25	4275.25	8641.5	13501.0	7404.75	4197.25	3189.5	2320.0	1245.0	645.5	368.0	200.75	184.25	115.0	43.0	17.75	7.5	5.75	2.0	2.25	1.25	0.25	0.25	0.0	0.5	0.75	0.25	0.5	0.5	0.25	0.25	0.25	0.0	0.0	0.0	0.25	0.25	0.0	0.25	0.25	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6666666666666666
P9723_1005_S5_L001_R1_001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.5	0.75	0.75	0.75	0.75	0.75	2.5	7.0	11.25	30.25	66.0	147.75	265.5	454.25	686.5	1444.75	3330.25	2145.25	1457.0	1996.0	5347.25	5017.0	3658.25	10979.0	17592.0	7413.0	2469.75	1401.0	2500.25	1324.75	2035.5	709.0	240.75	59.0	33.25	18.5	6.5	5.0	5.75	5.25	4.0	1.5	1.25	0.25	0.25	0.5	0.25	0.25	0.0	0.25	0.25	0.25	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
