Module	Section	Sample Name	Source
FastQC	all_sections	P9723_1021_S21_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1021_S21_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1022_S22_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1022_S22_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1022_S22_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1022_S22_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1023_S23_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1023_S23_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1023_S23_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1023_S23_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1024_S24_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1024_S24_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1024_S24_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1024_S24_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1025_S25_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1025_S25_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1025_S25_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1025_S25_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1026_S26_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1026_S26_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1026_S26_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1026_S26_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1027_S27_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1027_S27_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1027_S27_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1027_S27_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1028_S28_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1028_S28_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1028_S28_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1028_S28_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1029_S29_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1029_S29_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1029_S29_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1029_S29_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1030_S30_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1030_S30_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1030_S30_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1030_S30_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1031_S31_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1031_S31_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1031_S31_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1031_S31_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1032_S32_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1032_S32_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1032_S32_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1032_S32_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1033_S33_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1033_S33_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1033_S33_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1033_S33_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1034_S34_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1034_S34_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1034_S34_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1034_S34_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1035_S35_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1035_S35_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1035_S35_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1035_S35_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1036_S36_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1036_S36_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1036_S36_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1036_S36_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1037_S37_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1037_S37_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1037_S37_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1037_S37_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1038_S38_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1038_S38_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1038_S38_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1038_S38_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1039_S39_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1039_S39_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1039_S39_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1039_S39_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1040_S40_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1040_S40_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1040_S40_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1040_S40_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1041_S41_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1041_S41_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1041_S41_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1041_S41_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1042_S42_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1042_S42_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1042_S42_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1042_S42_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1043_S43_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1043_S43_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1043_S43_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1043_S43_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1044_S44_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1044_S44_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1044_S44_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1044_S44_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1045_S45_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1045_S45_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1045_S45_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1045_S45_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1046_S46_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1046_S46_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1046_S46_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1046_S46_L001_R2_001_fastqc.zip
