Group.1	Group.2	x
1	Meadow	0
2	Meadow	0
3	Meadow	0
1	Alder	0
2	Alder	0
3	Alder	0
1	Spruce-Alder	0
2	Spruce-Alder	0
3	Spruce-Alder	0
1	Spruce	0
2	Spruce	0
3	Spruce	0
1	Pine	0
2	Pine	0
3	Pine	0
