Group.1	Group.2	x
1	Meadow	2.93850126667125
2	Meadow	2.73300705440786
3	Meadow	3.34340471028873
1	Alder	4.14865685115687
2	Alder	3.53951296987065
3	Alder	3.55826843366859
1	Spruce-Alder	3.62499334323365
2	Spruce-Alder	3.49199076993113
3	Spruce-Alder	3.71844254740803
1	Spruce	3.17476732015033
2	Spruce	2.77062649703618
3	Spruce	3.60463158218017
1	Pine	1.85464538398548
2	Pine	2.42161197166115
3	Pine	3.17973163809753
