	P9723_1001_S1_L001	P9723_1002_S2_L001	P9723_1003_S3_L001	P9723_1004_S4_L001	P9723_1005_S5_L001	P9723_1006_S6_L001	P9723_1009_S9_L001	P9723_1010_S10_L001	P9723_1011_S11_L001	P9723_1012_S12_L001	P9723_1013_S13_L001	P9723_1014_S14_L001	P9723_1015_S15_L001	P9723_1016_S16_L001	P9723_1017_S17_L001	P9723_1018_S18_L001	P9723_1019_S19_L001	P9723_1020_S20_L001	P9723_1021_S21_L001	P9723_1022_S22_L001	P9723_1023_S23_L001	P9723_1024_S24_L001	P9723_1025_S25_L001	P9723_1026_S26_L001	P9723_1027_S27_L001	P9723_1028_S28_L001	P9723_1029_S29_L001	P9723_1030_S30_L001	P9723_1031_S31_L001	P9723_1032_S32_L001	P9723_1033_S33_L001	P9723_1034_S34_L001	P9723_1035_S35_L001	P9723_1036_S36_L001	P9723_1037_S37_L001	P9723_1038_S38_L001	P9723_1039_S39_L001	P9723_1040_S40_L001	P9723_1041_S41_L001	P9723_1042_S42_L001	P9723_1043_S43_L001	P9723_1044_S44_L001	P9723_1045_S45_L001	P9723_1046_S46_L001	P9723_1047_S47_L001	P9723_1048_S48_L001	P9723_1049_S49_L001	P9723_1050_S50_L001	P9723_1051_S51_L001	P9723_1052_S52_L001	P9723_1053_S53_L001	P9723_1054_S54_L001	P9723_1055_S55_L001	P9723_1056_S56_L001	P9723_1058_S58_L001	P9723_1059_S59_L001	P9723_1060_S60_L001	P9723_1061_S61_L001	P9723_1062_S62_L001	P9723_1063_S63_L001	P9723_1064_S64_L001	P9723_1065_S65_L001	P9723_1066_S66_L001	P9723_1067_S67_L001	P9723_1068_S68_L001	P9723_1069_S69_L001	P9723_1070_S70_L001	P9723_1071_S71_L001	P9723_1072_S72_L001	P9723_1073_S73_L001	P9723_1074_S74_L001	P9723_1075_S75_L001	P9723_1077_S77_L001	P9723_1078_S78_L001	P9723_1079_S79_L001	P9723_1081_S81_L001	P9723_1082_S82_L001	P9723_1083_S83_L001	P9723_1085_S85_L001	P9723_1086_S86_L001	P9723_1087_S87_L001	P9723_1089_S89_L001	P9723_1090_S90_L001	P9723_1091_S91_L001	P9723_1093_S93_L001	P9723_1094_S94_L001	P9723_1095_S95_L001
ASV699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	26	0	0	118	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	23
ASV700	8	0	0	0	20	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	7	0	0	6	65	0	0	3	80	0	0	0	8	0	0	0	0	0	0	0	0	25	0	0	0	28	0	0	9	0	0	0	0	0	0	0	53	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	48	0	0	0	20	0	0	0	15	0	0	0	60	0	0	0	92	0	0	0	0	17	0	0	0	10	0	0	11	0	0	0	0	0	0	0	3	12	0	0	4	20	0	0	0	15	0	0	7	0	0	0	0	0	4	0	0	15	0	0	19
ASV702	0	0	56	0	0	0	0	0	54	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	10	0	0	0	57	15	0	0	75	11	0	0	0	0	0	0	0	0	0	0	22	0	0	0	12	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
ASV703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	0	0	192
ASV704	0	0	0	0	0	0	0	0	45	28	0	0	25	39	0	0	27	25	0	0	30	37	0	0	0	28	0	0	0	17	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	44	0
ASV705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV706	0	0	0	76	0	0	0	0	0	51	0	0	0	45	0	0	0	39	0	0	0	30	0	0	0	19	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	4	4	0	0	20	0	4	0	0	0	29	0	0	67
ASV707	0	107	25	0	0	79	0	4	20	0	0	3	11	0	0	0	9	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	49	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV708	0	52	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	74	0	0	0	0	0	0	85	0	0	0	30	0	0	0	34	0	0	0	11	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV709	0	0	0	0	0	0	0	0	0	19	0	0	0	24	0	0	0	6	0	0	0	16	0	0	5	0	0	0	8	6	0	0	64	17	0	0	75	10	0	0	0	4	0	0	0	4	0	0	0	27	0	0	0	11	0	0	18	0	0	0	4	0	0	0	47	0	0	0	14	0	3	0	0	11	0	0	0	0	0	0	0	0	0	0	5	5	0
ASV710	0	0	0	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	98	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV711	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	6	0	0	0	0	60	0	0	0	68	0	0	59	0	0	0	91	0	0	0	33	0	0	0	38	0	0	0	0	4	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0
ASV712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	214	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV713	0	7	0	0	0	6	0	0	2	20	0	13	0	31	0	0	11	9	0	2	0	22	0	0	0	0	0	0	0	7	0	0	18	44	0	0	9	15	0	0	12	14	0	0	10	6	0	15	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	6	2	26	9	0	21	0	2	3	0	0	0	0	28	3	0	5	0
ASV714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	11	0	37	135	0	50	157	0
ASV715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	91	0	0	0	33	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	68	0	0	0	109	0	0	0	15	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV716	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	37	53	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	71	0	0	0	0	0	12	0	0	20	0	0	75	0
ASV717	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	29	0	0	0	21	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	27	0	0	23	0	0	26	0	0	81	0	0	67
ASV718	0	0	0	5	0	0	0	0	0	4	0	0	0	0	0	0	0	6	0	0	0	0	36	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	16	0	0	0	0	10	0	0	0	9	0	0	29	0	0	0	19	0	0	9	0	0	0	6	9	0	0	0	0	7	0	0	6	0	18	0	0	15	0	0	0	65	0	0	64
ASV719	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	75	0	0	114	69	0	0	0	16	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0
ASV720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	33	0	0	26	0	0	0	31	0	0	28	0	0	0	43	0	0	0	0	0	11	0	0	19	0	0	31	0	0	0	0	0	0	0	0	0
ASV721	0	0	80	0	0	0	0	0	52	0	0	0	35	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	75	0	0	0	31	0	0	0	23	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV722	0	0	4	0	0	0	0	0	40	0	0	0	24	0	0	0	0	0	0	10	0	0	0	0	39	0	6	0	28	0	0	0	9	40	0	0	4	20	0	0	0	0	0	0	6	0	49	0	0	4	17	0	0	0	0	0	4	8	0	0	0	4	0	0	0	0	0	0	0	31	0	0	18	0	0	5	0	0	15	0	0	4	0	0	0	0	0
ASV723	0	0	0	0	0	0	0	0	0	23	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	53	0	0	0	111	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
ASV724	31	0	0	0	14	0	136	0	0	0	119	0	0	0	6	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	21	0	0	0	0	2	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV725	0	0	0	0	0	0	0	0	136	0	0	0	109	0	0	0	62	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	35	0	0	0	0	0	0	85	0	0	0	86	0	0	0	136	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	41	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	10	0	0	14	0	0	63	0	0	117	0	0	33	0	0	47	0	0
ASV728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	143	0	0	0	47	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	28	0	0	0	0	0	0	0	0	0	26	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	103	0	0	0	8	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0
ASV730	0	22	0	0	0	13	0	19	0	0	0	23	0	0	0	39	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	5	0	0	0	0	0	32	0	0	0	44	0	0	0	0	0	33	16	0	0	23	0	0	0	0	0	0	0	0	14	0	0	23	0	0	11	0	0	11	0	0	7	0	0	14	0	0
ASV731	0	0	63	0	0	0	0	0	10	0	0	0	7	0	0	0	0	0	0	0	0	9	9	0	0	28	3	0	0	4	0	0	0	31	0	0	0	27	0	0	0	0	0	19	0	4	53	0	0	0	39	0	0	5	0	0	4	9	0	0	0	15	0	0	0	3	0	0	0	0	19	0	0	5	0	0	0	0	0	0	0	0	0	0	0	12	2
ASV732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	39	0	0	0	10	0	0	0	14	0	0	0	0	17	0	0	0	9	0	0	15	0	0	0	9	0	0	0	18	3	0	0	19	11	0	0	73	0	0	75	0	0	17	0	0	12	6	0	0	0	0	0	0
ASV733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	279	15	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	10	0	0	0	0	0	0
ASV734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	203	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ASV735	34	0	0	0	37	0	53	0	0	0	73	0	0	0	6	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	12	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	15	0	0	0	0	0	16	0	0	0	0	39	0	0
ASV737	0	0	51	42	0	0	0	0	0	30	0	0	0	27	0	0	10	8	0	0	0	21	0	0	0	0	0	0	0	0	0	0	47	38	0	0	46	10	0	0	0	22	0	0	0	6	0	0	0	0	0	0	0	0	0	0	10	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	67	0	0	44	0
ASV739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	70	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	30	0	0	34	0	0	54	0	0	19	0	0	0	0	0	0	0
ASV741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	106	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0
ASV742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	88	0	0	0	32	0	0	0	42	40	0	0	3	0	0	0	0	0	0	0	0	0	18	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	26	0	0	0	0	0	0
ASV743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	327	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV744	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	21	0	0	143	0	0	0	105	0	0	0	0	0	0	0	0	0	18	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV746	0	0	10	0	0	0	0	0	0	20	0	10	0	16	0	0	0	7	0	0	6	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	9	8	0	0	30	0	0	0	26	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	19	12	0	0	6	0	39	7	0	27	0	0	10	0	0	14	2	0	0	34	0	0	41
ASV747	0	0	0	22	0	0	0	0	22	0	0	0	0	21	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	4	0	7	0	0	0	0	0	0	14	0	0	0	0	76	0	0	61	0	0	17	0	0	15	0	0	8	0	3	0	0
ASV748	0	0	0	10	0	0	0	0	22	9	0	0	21	21	0	0	16	8	0	0	21	11	0	0	0	3	3	0	11	0	41	0	0	2	62	0	0	0	0	5	0	8	5	6	0	0	0	0	0	4	24	0	0	0	0	5	0	14	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	13
ASV749	0	0	0	18	0	0	0	0	53	0	0	0	32	0	0	0	26	0	0	0	39	0	0	0	0	30	0	0	0	40	0	0	0	71	0	0	0	55	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV750	0	17	0	39	0	16	0	20	0	6	0	29	0	13	0	0	2	22	0	3	4	30	7	0	0	0	4	0	0	11	0	0	10	19	0	0	16	3	4	0	8	6	7	0	5	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	14	0	0	0	0	0	0	0	0	8	3	0	3	10	0	0	5	0	0	8	0	0	0	0	0	4	0
ASV751	0	0	0	16	0	0	0	0	0	45	0	0	0	25	0	0	0	16	0	0	0	19	11	0	0	15	7	0	0	8	10	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	11	0	0	31	0	0	9	15	0	0	11	16	0	0	12	14	0	0	5	4	7	0	4	5	0	6	0	0	0	5	0	0	0	0	10	0
ASV752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	190	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV753	0	0	0	12	0	0	0	0	0	5	0	0	0	9	0	0	0	21	0	0	0	26	0	0	0	0	5	0	0	14	36	0	12	0	42	0	11	0	0	0	11	0	2	0	19	0	0	0	0	30	0	0	0	24	0	0	20	0	0	0	26	16	0	0	0	18	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	108	0	0	0	95	0	0	0	23	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV755	0	0	0	0	0	0	0	0	0	52	0	0	0	44	0	0	0	51	0	0	0	63	0	0	0	58	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	74	0	0	94	0	0	120	0	0	0	0	0	0	0	0
ASV757	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	71	0	0	0	114	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV758	0	12	46	0	0	12	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	111	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0
ASV759	0	0	8	8	0	0	0	0	4	3	0	0	2	8	0	0	13	13	0	0	9	15	0	0	0	8	0	0	0	6	0	0	12	26	0	0	16	9	3	0	0	0	0	0	4	0	0	5	0	0	0	0	0	0	40	0	0	4	44	0	0	22	0	0	0	19	0	0	0	5	0	0	0	0	4	2	13	0	0	5	0	0	7	0	0	15	5
ASV760	109	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV761	0	0	27	0	0	0	0	0	0	19	0	0	0	0	7	0	0	12	0	0	10	0	0	0	6	0	0	0	0	0	9	0	0	22	21	0	0	18	31	0	0	53	35	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	10	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0
ASV762	0	0	0	0	0	0	66	0	0	0	121	0	0	0	62	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV764	0	0	0	0	5	0	53	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	105	0	0	3	70	0	0	0	4	0	0	5	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
ASV765	0	0	0	0	26	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	136	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	26
ASV767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	2	0	0	0	18	0	0	0	0	47	0	0	0	18	0	0	27	0	0	0	33	0	0	0	70	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV768	0	0	10	0	0	0	0	0	23	0	0	0	0	0	0	0	8	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	47	0	0	6	11	0	0	10	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	50	0	0	0	46	0	0	0	20	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	67	0	0	0	21	0	0	0	24	0	0	0	10	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	33	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	20
